Time,Time Code,Country Name,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],Coal rents (% of GDP) [NY.GDP.COAL.RT.ZS],Mineral rents (% of GDP) [NY.GDP.MINR.RT.ZS],Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS]
2009,YR2009,China,CHN,99.1107559204102,1.70995200685933,0.996362930664087,0.11303728959797
2009,YR2009,France,FRA,100,0,0.00127715152883219,0.00300131454498394
2009,YR2009,Germany,DEU,100,0.0645513988300187,0.000234753701460163,0.0405139498565575
2009,YR2009,India,IND,75,1.38813218734613,0.936378160326233,0.139884600408234
2009,YR2009,United States,USA,100,0.328948122158706,0.073856708586716,0.0450657683061133
2009,YR2009,United Arab Emirates,ARE,100,0,0,1.29504191176003
2009,YR2009,United Kingdom,GBR,100,0.0164405626939319,0.000137437555140938,0.21024175622231
2010,YR2010,Afghanistan,AFG,42.7,0.215322628919275,0,0.0403224481935062
2010,YR2010,Australia,AUS,100,2.01394646953452,4.85534836205351,0.358939187120881
2010,YR2010,Canada,CAN,100,0.246577674456861,0.449991271187577,0
2010,YR2010,China,CHN,99.7,2.74101073299239,2.02001128407646,0.114498931303681
2010,YR2010,France,FRA,100,0,0.00136395896236241,0.00232971591807025
2010,YR2010,Germany,DEU,100,0.100605224103438,0.000979580824080147,0.0311922394814401
2010,YR2010,India,IND,76.3,1.63399933661428,1.51316086876236,0.158053469617224
2010,YR2010,United States,USA,100,0.46327180553633,0.166896320336218,0
2010,YR2010,United Arab Emirates,ARE,100,0,0,1.09696752906347
2010,YR2010,United Kingdom,GBR,100,0.0301037064256683,0.000162253269509656,0.185444706515816
2011,YR2011,Afghanistan,AFG,43.2220189082037,0.481711529177581,0,0.0451518313015526
2011,YR2011,Australia,AUS,100,2.3534770034687,5.02848003545977,0.350838343671304
2011,YR2011,Canada,CAN,100,0.312902433338827,0.555035051706879,0
2011,YR2011,China,CHN,99.88720703125,3.531173681463,2.33286209782444,0.111272165477375
2011,YR2011,France,FRA,100,0,0.000264007930001232,0.00258651823404283
2011,YR2011,Germany,DEU,100,0.114695303797205,0.00124543609878311,0.0425672292934665
2011,YR2011,India,IND,79.5167846679688,2.00973994959679,1.42378541419491,0.171410338885456
2011,YR2011,United States,USA,100,0.576151367733925,0.238996864592749,0
2011,YR2011,United Arab Emirates,ARE,100,0,0,1.17972038186238
2011,YR2011,United Kingdom,GBR,100,0.0352096117076459,0.000239143061619146,0.21217311952712
2012,YR2012,Afghanistan,AFG,69.1,0.26623044263315,0,0.0464655939898396
2012,YR2012,Australia,AUS,100,1.19179744642538,3.0451724905842,0.291490714216486
2012,YR2012,Canada,CAN,100,0.165451060942996,0.33817353580594,0
2012,YR2012,China,CHN,99.9474334716797,1.77837319641686,0.783715365961303,0.101496660091287
2012,YR2012,France,FRA,100,0,0.000290143238489028,0.00258288830322511
